书名,章节号,章节名,分类,字数,更新日期,字数文本,分类统计,数量,字数数字,1200,转数字
凡人修仙传,2,入门,仙侠,3600,2026/9/4,3600,玄幻,2,3600,1356,3600
斗破苍穹,1,退婚,玄幻,3500,2026/9/1,3500,科幻,2,3500,9820,3500
庆余年,2,京都,历史,3300, 2026/9/3,3300,历史,2,3300,6562,3300
凡人修仙传,1,山村,仙侠,3300,2026/9/3,3300,,,3300,5630,3300
夜的命名术,1,醒来,科幻,3200,2026/9/1,3200,,,3200,,3200
斗破苍穹,2,异火,玄幻,3100,2026/9/3,3100,,,3100,,3100
诡秘之主,1,序章,奇幻,3000,2026/9/1,3000,,,3000,,3000
庆余年,1,少年,历史,2900,2026/9/2,2900,,,2900,,2900
夜的命名术,2,旧城,科幻,2800,2026/9/2,2800,,,2800,,2800
诡秘之主,2,占卜,奇幻,2700,2026/9/2,2700,,,2700,,2700
,,,,31400,#VALUE!,31400,,,31400,,
,,,,3140,,,,,,,
