书名,章节号,章节名,分类,字数,更新日期,字数文本,分类统计,数量,字数数字,1200,转数字
凡人修仙传,2.0,入门,仙侠,3600,2026/9/4,3600.0,玄幻,2.0,3600.0,1356.0,3600.0
斗破苍穹,1.0,退婚,玄幻,3500,2026/9/1,3500.0,科幻,2.0,3500.0,9820.0,3500.0
庆余年,2.0,京都,历史,3300, 2026/9/3,3300.0,历史,2.0,3300.0,6562.0,3300.0
凡人修仙传,1.0,山村,仙侠,3300,2026/9/3,3300.0,,,3300.0,5630.0,3300.0
夜的命名术,1.0,醒来,科幻,3200,2026/9/1,3200.0,,,3200.0,,3200.0
斗破苍穹,2.0,异火,玄幻,3100,2026/9/3,3100.0,,,3100.0,,3100.0
诡秘之主,1.0,序章,奇幻,3000,2026/9/1,3000.0,,,3000.0,,3000.0
庆余年,1.0,少年,历史,2900,2026/9/2,2900.0,,,2900.0,,2900.0
夜的命名术,2.0,旧城,科幻,2800,2026/9/2,2800.0,,,2800.0,,2800.0
诡秘之主,2.0,占卜,奇幻,2700,2026/9/2,2700.0,,,2700.0,,2700.0
